1191079,大白菜,蔬菜,0.8,1.0,0.9,斤,2021-10-12
1191078,娃娃菜,蔬菜,1.0,1.4,1.2,斤,2021-10-12
1191077,小白菜,蔬菜,3.0,4.0,3.5,斤,2021-10-12
1191076,圆白菜,蔬菜,1.2,2.5,1.85,斤,2021-10-12
1191075,紫甘蓝,蔬菜,0.7,0.75,0.73,斤,2021-10-12
1191074,芹菜,蔬菜,1.5,2.0,1.75,斤,2021-10-12
1191073,西芹,蔬菜,1.3,1.8,1.55,斤,2021-10-12
1191072,菠菜,蔬菜,3.0,7.0,5.0,斤,2021-10-12
1191071,莴笋,蔬菜,1.2,1.8,1.5,斤,2021-10-12
1191070,团生菜,蔬菜,3.0,6.0,4.5,斤,2021-10-12
1191069,散叶生菜,蔬菜,4.0,5.0,4.5,斤,2021-10-12
1191068,罗马生菜,蔬菜,2.0,3.0,2.5,斤,2021-10-12
1191067,油菜,蔬菜,2.5,3.5,3.0,斤,2021-10-12
1191066,香菜,蔬菜,3.0,4.0,3.5,斤,2021-10-12
1191065,茴香,蔬菜,2.5,4.0,3.25,斤,2021-10-12
1191064,韭菜,蔬菜,2.8,3.5,3.15,斤,2021-10-12
1191063,苦菊,蔬菜,4.5,5.0,4.75,斤,2021-10-12
1191062,油麦菜,蔬菜,4.0,6.0,5.0,斤,2021-10-12
1191061,散菜花,蔬菜,2.0,3.0,2.5,斤,2021-10-12
1191060,绿菜花,蔬菜,2.5,4.5,3.5,斤,2021-10-12
1191059,绿豆芽,蔬菜,0.95,1.0,0.98,斤,2021-10-12
1191058,黄豆芽,蔬菜,0.85,0.9,0.88,斤,2021-10-12
1191057,番茄,蔬菜,1.3,2.2,1.75,斤,2021-10-12
1191056,番茄,蔬菜,2.5,3.0,2.75,斤,2021-10-12
1191055,黄瓜,蔬菜,2.0,4.5,3.25,斤,2021-10-12
1191054,黄瓜,蔬菜,4.5,5.5,5.0,斤,2021-10-12
1191053,小黄瓜,蔬菜,4.6,6.5,5.55,斤,2021-10-12
1191052,茄子,蔬菜,1.6,3.5,2.55,斤,2021-10-12
1191051,长茄,蔬菜,1.5,3.0,2.25,斤,2021-10-12
1191050,广茄,蔬菜,2.0,3.0,2.5,斤,2021-10-12
1191049,线茄,蔬菜,1.5,4.0,2.75,斤,2021-10-12
1191048,冬瓜,蔬菜,0.8,1.0,0.9,斤,2021-10-12
1191047,冬瓜,蔬菜,0.35,0.45,0.4,斤,2021-10-12
1191046,毛冬瓜,蔬菜,0.5,1.0,0.75,斤,2021-10-12
1191045,架豆,蔬菜,3.0,6.0,4.5,斤,2021-10-12
1191044,豆王,蔬菜,3.5,5.5,4.5,斤,2021-10-12
1191043,扁豆,蔬菜,4.0,6.0,5.0,斤,2021-10-12
1191042,豇豆,蔬菜,2.8,5.0,3.9,斤,2021-10-12
1191041,白不老,蔬菜,2.5,5.0,3.75,斤,2021-10-12
1191040,油豆,蔬菜,3.5,7.0,5.25,斤,2021-10-12
